Lemma,Rank,SFI,U
assertiveness,,"38,911","0,78"
wintry,,"38,911","0,78"
puke,,"38,910","0,78"
purview,,"38,909","0,78"
truism,,"38,908","0,78"
toolbox,,"38,907","0,78"
madrigal,,"38,907","0,78"
homepage,,"38,907","0,78"
supranational,,"38,906","0,78"
luscious,,"38,906","0,78"
feisty,,"38,905","0,78"
funerary,,"38,904","0,78"
incredulity,,"38,904","0,78"
cognate,,"38,903","0,78"
permeability,,"38,902","0,78"
platitude,,"38,902","0,78"
tastefully,,"38,901","0,78"
mechanization,,"38,900","0,78"
inscrutable,,"38,899","0,78"
crotch,,"38,899","0,78"
unnaturally,,"38,898","0,78"
macaque,,"38,898","0,78"
monosyllabic,,"38,897","0,78"
bouncy,,"38,897","0,78"
stroller,,"38,897","0,78"
projectile,,"38,894","0,78"
disrespectful,,"38,894","0,78"
plotter,,"38,893","0,78"
paradigmatic,,"38,893","0,77"
embellishment,,"38,892","0,77"
squeaky,,"38,892","0,77"
hairpin,,"38,892","0,77"
redeploy,,"38,891","0,77"
carcinogen,,"38,890","0,77"
chlorophyll,,"38,890","0,77"
fen,,"38,889","0,77"
northerly,,"38,888","0,77"
costar,,"38,888","0,77"
unexplored,,"38,888","0,77"
tracker,,"38,887","0,77"
temperance,,"38,886","0,77"
mildew,,"38,886","0,77"
hieroglyphic,,"38,885","0,77"
tepid,,"38,885","0,77"
episodic,,"38,884","0,77"
preterm,,"38,884","0,77"
falsity,,"38,883","0,77"
reinterpret,,"38,883","0,77"
paleontologist,,"38,882","0,77"
blissfully,,"38,881","0,77"
thong,,"38,880","0,77"
nonsensical,,"38,879","0,77"
epitaph,,"38,877","0,77"
pall,,"38,877","0,77"
ponytail,,"38,877","0,77"
mullah,,"38,876","0,77"
caster,,"38,876","0,77"
pap,,"38,876","0,77"
bro,,"38,876","0,77"
expressway,,"38,876","0,77"
intimation,,"38,873","0,77"
factional,,"38,873","0,77"
neurologist,,"38,873","0,77"
thyme,,"38,872","0,77"
unopened,,"38,871","0,77"
misinterpretation,,"38,869","0,77"
ocher,,"38,869","0,77"
mucosal,,"38,866","0,77"
equine,,"38,866","0,77"
bohemian,,"38,865","0,77"
loony,,"38,865","0,77"
cobbler,,"38,865","0,77"
quiescent,,"38,864","0,77"
girdle,,"38,864","0,77"
cyanide,,"38,864","0,77"
smatter,,"38,864","0,77"
bodice,,"38,862","0,77"
tuxedo,,"38,862","0,77"
trite,,"38,862","0,77"
anemone,,"38,861","0,77"
lockout,,"38,861","0,77"
hygienic,,"38,860","0,77"
decrepit,,"38,859","0,77"
lazily,,"38,858","0,77"
obstructive,,"38,857","0,77"
totem,,"38,857","0,77"
unaccompanied,,"38,857","0,77"
interventionist,,"38,856","0,77"
ulcerative,,"38,856","0,77"
abridge,,"38,855","0,77"
conciliation,,"38,854","0,77"
matrimonial,,"38,853","0,77"
parlance,,"38,852","0,77"
quieten,,"38,852","0,77"
redevelop,,"38,852","0,77"
appendage,,"38,851","0,77"
hyphen,,"38,850","0,77"
gaggle,,"38,850","0,77"
unproven,,"38,850","0,77"
gloriously,,"38,850","0,77"
biometric,,"38,849","0,77"
mackerel,,"38,848","0,77"
highbrow,,"38,847","0,77"
immutable,,"38,846","0,77"
duster,,"38,845","0,77"
checkbook,,"38,845","0,77"
equivocal,,"38,842","0,77"
jihadist,,"38,842","0,77"
unattainable,,"38,842","0,77"
simile,,"38,841","0,77"
lectern,,"38,841","0,77"
orchestration,,"38,841","0,77"
dictation,,"38,841","0,77"
kerosene,,"38,841","0,77"
clobber,,"38,841","0,77"
ruse,,"38,841","0,77"
decommission,,"38,839","0,77"
horticultural,,"38,839","0,77"
splay,,"38,839","0,77"
epileptic,,"38,838","0,77"
throwback,,"38,837","0,77"
bunt,,"38,837","0,77"
pate,,"38,836","0,76"
cyber,,"38,835","0,76"
heirloom,,"38,834","0,76"
autoimmune,,"38,833","0,76"
womanhood,,"38,832","0,76"
providence,,"38,832","0,76"
cinder,,"38,831","0,76"
anachronism,,"38,830","0,76"
encampment,,"38,829","0,76"
kudos,,"38,829","0,76"
preheat,,"38,828","0,76"
dinar,,"38,827","0,76"
eventful,,"38,826","0,76"
disown,,"38,826","0,76"
pessimist,,"38,825","0,76"
acrimonious,,"38,825","0,76"
relativism,,"38,824","0,76"
analytically,,"38,823","0,76"
glyph,,"38,823","0,76"
appreciably,,"38,821","0,76"
unreported,,"38,821","0,76"
nonviolent,,"38,820","0,76"
jaunt,,"38,819","0,76"
restorative,,"38,816","0,76"
irregularly,,"38,815","0,76"
whirlpool,,"38,815","0,76"
eke,,"38,814","0,76"
actuary,,"38,814","0,76"
pathogenic,,"38,813","0,76"
thunderous,,"38,812","0,76"
uninhibited,,"38,812","0,76"
aggravation,,"38,812","0,76"
suckle,,"38,810","0,76"
precipice,,"38,810","0,76"
breathlessly,,"38,809","0,76"
chromatin,,"38,809","0,76"
typhoon,,"38,808","0,76"
latte,,"38,808","0,76"
aorta,,"38,805","0,76"
moribund,,"38,803","0,76"
melatonin,,"38,803","0,76"
stunningly,,"38,802","0,76"
interwar,,"38,802","0,76"
rephrase,,"38,798","0,76"
wholemeal,,"38,798","0,76"
shareowner,,"38,797","0,76"
smock,,"38,797","0,76"
bombshell,,"38,797","0,76"
reflectance,,"38,796","0,76"
preseason,,"38,794","0,76"
exterminate,,"38,794","0,76"
tacitly,,"38,793","0,76"
motivator,,"38,793","0,76"
serenade,,"38,793","0,76"
rote,,"38,793","0,76"
rotational,,"38,793","0,76"
nonproliferation,,"38,792","0,76"
idiocy,,"38,792","0,76"
eave,,"38,792","0,76"
merciful,,"38,791","0,76"
panache,,"38,791","0,76"
archeologist,,"38,791","0,76"
dialectical,,"38,790","0,76"
codification,,"38,788","0,76"
brunette,,"38,788","0,76"
blanch,,"38,788","0,76"
titan,,"38,787","0,76"
physiologist,,"38,787","0,76"
regimental,,"38,786","0,76"
redden,,"38,786","0,76"
doctrinal,,"38,786","0,76"
quandary,,"38,785","0,76"
playgroup,,"38,784","0,76"
fossilize,,"38,784","0,76"
croft,,"38,783","0,76"
workaholic,,"38,780","0,76"
rile,,"38,780","0,76"
impersonation,,"38,779","0,75"
ticker,,"38,779","0,75"
ergonomic,,"38,779","0,75"
diocesan,,"38,778","0,75"
pelican,,"38,778","0,75"
chipset,,"38,777","0,75"
forceps,,"38,777","0,75"
utilitarianism,,"38,775","0,75"
complainant,,"38,775","0,75"
seaboard,,"38,775","0,75"
quietness,,"38,773","0,75"
unsupported,,"38,771","0,75"
blastomere,,"38,770","0,75"
gusto,,"38,770","0,75"
currant,,"38,769","0,75"
resuscitation,,"38,768","0,75"
girder,,"38,768","0,75"
scalpel,,"38,767","0,75"
substandard,,"38,767","0,75"
orifice,,"38,767","0,75"
erudite,,"38,766","0,75"
voodoo,,"38,766","0,75"
heartburn,,"38,765","0,75"
realign,,"38,765","0,75"
payload,,"38,762","0,75"
campfire,,"38,761","0,75"
pushy,,"38,761","0,75"
laudable,,"38,759","0,75"
compendium,,"38,759","0,75"
mercilessly,,"38,758","0,75"
trinket,,"38,757","0,75"
excrete,,"38,756","0,75"
overleaf,,"38,756","0,75"
habitable,,"38,755","0,75"
condescension,,"38,755","0,75"
curd,,"38,753","0,75"
metrical,,"38,753","0,75"
outrageously,,"38,753","0,75"
fatherhood,,"38,751","0,75"
chow,,"38,750","0,75"
gaffe,,"38,750","0,75"
promontory,,"38,748","0,75"
impeccably,,"38,748","0,75"
malignancy,,"38,747","0,75"
capacitor,,"38,746","0,75"
dishonor,,"38,746","0,75"
forefather,,"38,745","0,75"
sucrose,,"38,745","0,75"
obstinate,,"38,744","0,75"
confiscation,,"38,743","0,75"
diamondback,,"38,743","0,75"
unleaded,,"38,742","0,75"
automaton,,"38,742","0,75"
adjournment,,"38,742","0,75"
primeval,,"38,742","0,75"
laity,,"38,741","0,75"
snooze,,"38,740","0,75"
sufficiency,,"38,736","0,75"
cavalier,,"38,736","0,75"
planetarium,,"38,736","0,75"
regressive,,"38,735","0,75"
sawdust,,"38,735","0,75"
headless,,"38,732","0,75"
chieftain,,"38,731","0,75"
nonstandard,,"38,730","0,75"
redouble,,"38,730","0,75"
shrewdly,,"38,730","0,75"
uncritical,,"38,729","0,75"
stratigraphic,,"38,727","0,75"
pipette,,"38,727","0,75"
pacemaker,,"38,725","0,75"
naturalism,,"38,725","0,75"
cremate,,"38,725","0,75"
antiquarian,,"38,724","0,75"
hypertext,,"38,724","0,75"
dong,,"38,723","0,75"
lawless,,"38,722","0,75"
forebode,,"38,722","0,75"
pneumatic,,"38,722","0,75"
sportswear,,"38,722","0,75"
ponderous,,"38,721","0,74"
stewardess,,"38,720","0,74"
unstressed,,"38,719","0,74"
astrologer,,"38,719","0,74"
assiduously,,"38,718","0,74"
rudeness,,"38,717","0,74"
ream,,"38,717","0,74"
tubule,,"38,715","0,74"
irrelevance,,"38,715","0,74"
locust,,"38,714","0,74"
tranquilizer,,"38,714","0,74"
attentively,,"38,713","0,74"
sax,,"38,713","0,74"
frieze,,"38,712","0,74"
commandeer,,"38,712","0,74"
partridge,,"38,712","0,74"
snobbery,,"38,709","0,74"
freshen,,"38,706","0,74"
skunk,,"38,705","0,74"
idiomatic,,"38,701","0,74"
tactful,,"38,701","0,74"
morgue,,"38,700","0,74"
ungrateful,,"38,699","0,74"
implacable,,"38,699","0,74"
chiffon,,"38,699","0,74"
immortalize,,"38,698","0,74"
credo,,"38,698","0,74"
embitter,,"38,698","0,74"
fairground,,"38,696","0,74"
deflation,,"38,695","0,74"
lotus,,"38,695","0,74"
breather,,"38,695","0,74"
salami,,"38,693","0,74"
pox,,"38,693","0,74"
haughty,,"38,692","0,74"
hypothermia,,"38,691","0,74"
misdeed,,"38,690","0,74"
interment,,"38,690","0,74"
amen,,"38,689","0,74"
jangle,,"38,689","0,74"
brackish,,"38,689","0,74"
rootstock,,"38,688","0,74"
regent,,"38,687","0,74"
renter,,"38,687","0,74"
irreplaceable,,"38,686","0,74"
toot,,"38,685","0,74"
showy,,"38,685","0,74"
nodule,,"38,685","0,74"
meow,,"38,684","0,74"
honk,,"38,684","0,74"
journeyman,,"38,684","0,74"
crèche,,"38,683","0,74"
silverware,,"38,682","0,74"
workmate,,"38,680","0,74"
arranger,,"38,679","0,74"
hilt,,"38,679","0,74"
weirdly,,"38,679","0,74"
manganese,,"38,679","0,74"
desiccation,,"38,678","0,74"
extrapolation,,"38,676","0,74"
roundly,,"38,676","0,74"
legume,,"38,676","0,74"
musket,,"38,672","0,74"
ably,,"38,672","0,74"
decoy,,"38,672","0,74"
inculcate,,"38,671","0,74"
puree,,"38,671","0,74"
urea,,"38,671","0,74"
interoperability,,"38,670","0,74"
ascetic,,"38,670","0,74"
vestibule,,"38,669","0,74"
acetic,,"38,669","0,74"
steadfastly,,"38,668","0,74"
urinate,,"38,668","0,74"
crewman,,"38,667","0,74"
hedonism,,"38,665","0,74"
kilt,,"38,664","0,74"
gluten,,"38,662","0,73"
downwind,,"38,659","0,73"
payday,,"38,658","0,73"
motorize,,"38,658","0,73"
extinguisher,,"38,658","0,73"
laterally,,"38,655","0,73"
perversion,,"38,655","0,73"
lollipop,,"38,654","0,73"
vehement,,"38,654","0,73"
unseat,,"38,654","0,73"
choppy,,"38,654","0,73"
addendum,,"38,653","0,73"
bloodless,,"38,652","0,73"
betterment,,"38,652","0,73"
positivist,,"38,651","0,73"
twitter,,"38,650","0,73"
reveler,,"38,650","0,73"
irrepressible,,"38,648","0,73"
palazzo,,"38,647","0,73"
liven,,"38,646","0,73"
heredity,,"38,644","0,73"
blower,,"38,643","0,73"
skit,,"38,642","0,73"
valor,,"38,641","0,73"
sculptural,,"38,640","0,73"
disembark,,"38,640","0,73"
lathe,,"38,639","0,73"
recoverable,,"38,638","0,73"
wanderer,,"38,637","0,73"
travail,,"38,637","0,73"
tumult,,"38,636","0,73"
organelle,,"38,636","0,73"
diction,,"38,634","0,73"
anus,,"38,633","0,73"
aphorism,,"38,632","0,73"
bungle,,"38,630","0,73"
sulfide,,"38,628","0,73"
beau,,"38,627","0,73"
fastball,,"38,626","0,73"
concord,,"38,626","0,73"
outwards,,"38,626","0,73"
taster,,"38,625","0,73"
racy,,"38,624","0,73"
evacuee,,"38,624","0,73"
cheetah,,"38,622","0,73"
opacity,,"38,620","0,73"
underperform,,"38,618","0,73"
newscast,,"38,618","0,73"
watchman,,"38,617","0,73"
stupendous,,"38,617","0,73"
ladle,,"38,616","0,73"
wildness,,"38,615","0,73"
burp,,"38,615","0,73"
goblet,,"38,615","0,73"
escapade,,"38,614","0,73"
homophobic,,"38,614","0,73"
essayist,,"38,614","0,73"
distillery,,"38,614","0,73"
atonement,,"38,613","0,73"
scoreboard,,"38,613","0,73"
isolationist,,"38,613","0,73"
hunker,,"38,612","0,73"
guesthouse,,"38,612","0,73"
thingy,,"38,611","0,73"
infirm,,"38,611","0,73"
heparin,,"38,610","0,73"
percolate,,"38,608","0,73"
nosy,,"38,608","0,73"
pectoral,,"38,607","0,73"
aegis,,"38,605","0,73"
uncharacteristically,,"38,604","0,73"
marginalization,,"38,602","0,72"
uncharacteristic,,"38,602","0,72"
decorum,,"38,601","0,72"
prosthetic,,"38,601","0,72"
animator,,"38,599","0,72"
deductive,,"38,598","0,72"
jitter,,"38,598","0,72"
sleet,,"38,595","0,72"
handlebar,,"38,595","0,72"
cannibalism,,"38,592","0,72"
shrinkage,,"38,592","0,72"
polyphony,,"38,590","0,72"
latrine,,"38,590","0,72"
canary,,"38,590","0,72"
transcriber,,"38,588","0,72"
millisecond,,"38,588","0,72"
tripartite,,"38,587","0,72"
shipper,,"38,587","0,72"
whet,,"38,586","0,72"
interpolate,,"38,585","0,72"
subcontinent,,"38,584","0,72"
nauseate,,"38,584","0,72"
abysmal,,"38,584","0,72"
transgress,,"38,583","0,72"
reconvene,,"38,582","0,72"
undifferentiated,,"38,582","0,72"
incisor,,"38,581","0,72"
atheism,,"38,577","0,72"
excitable,,"38,576","0,72"
swig,,"38,576","0,72"
thereon,,"38,575","0,72"
succulent,,"38,575","0,72"
appetizer,,"38,575","0,72"
tirade,,"38,574","0,72"
internalization,,"38,573","0,72"
fanaticism,,"38,573","0,72"
bullock,,"38,572","0,72"
adverbial,,"38,571","0,72"
lactose,,"38,571","0,72"
crystallization,,"38,571","0,72"
bridegroom,,"38,569","0,72"
misnomer,,"38,569","0,72"
dint,,"38,569","0,72"
symbiotic,,"38,568","0,72"
telex,,"38,568","0,72"
pejorative,,"38,566","0,72"
cadmium,,"38,566","0,72"
fizzy,,"38,566","0,72"
nutmeg,,"38,566","0,72"
misbehavior,,"38,564","0,72"
duckling,,"38,562","0,72"
puny,,"38,561","0,72"
radiance,,"38,560","0,72"
cuticle,,"38,560","0,72"
apologist,,"38,560","0,72"
electrolyte,,"38,559","0,72"
immeasurably,,"38,558","0,72"
wellness,,"38,557","0,72"
thereabout,,"38,556","0,72"
anode,,"38,555","0,72"
cheesecake,,"38,555","0,72"
demonstrable,,"38,555","0,72"
hustler,,"38,554","0,72"
penthouse,,"38,554","0,72"
twinge,,"38,554","0,72"
wether,,"38,554","0,72"
seabed,,"38,553","0,72"
kiddy,,"38,553","0,72"
sarcastically,,"38,552","0,72"
blankly,,"38,548","0,72"
dank,,"38,548","0,72"
trellis,,"38,548","0,72"
constitutionality,,"38,547","0,72"
dept,,"38,547","0,72"
pharmacological,,"38,547","0,72"
aimlessly,,"38,546","0,72"
quaver,,"38,546","0,72"
litigant,,"38,546","0,72"
teethe,,"38,543","0,72"
speechwriter,,"38,542","0,71"
berserk,,"38,541","0,71"
cornfield,,"38,541","0,71"
lawlessness,,"38,541","0,71"
beholder,,"38,540","0,71"
receptacle,,"38,539","0,71"
militarism,,"38,539","0,71"
hatchet,,"38,539","0,71"
hearse,,"38,539","0,71"
indecency,,"38,539","0,71"
kingship,,"38,538","0,71"
gnarl,,"38,538","0,71"
psychotherapist,,"38,537","0,71"
bop,,"38,536","0,71"
racecourse,,"38,536","0,71"
ado,,"38,535","0,71"
oppressor,,"38,534","0,71"
retinue,,"38,533","0,71"
tern,,"38,533","0,71"
prion,,"38,533","0,71"
shew,,"38,533","0,71"
infantile,,"38,532","0,71"
resuscitate,,"38,532","0,71"
contra,,"38,532","0,71"
reprise,,"38,531","0,71"
cordially,,"38,530","0,71"
windowsill,,"38,529","0,71"
hast,,"38,529","0,71"
unyielding,,"38,529","0,71"
aqueous,,"38,528","0,71"
bipartisanship,,"38,528","0,71"
obsessively,,"38,528","0,71"
headstone,,"38,528","0,71"
connote,,"38,528","0,71"
goof,,"38,527","0,71"
molt,,"38,527","0,71"
slink,,"38,526","0,71"
accost,,"38,526","0,71"
contagion,,"38,525","0,71"
interlink,,"38,525","0,71"
preen,,"38,524","0,71"
mirage,,"38,523","0,71"
violator,,"38,521","0,71"
dowry,,"38,521","0,71"
felicity,,"38,520","0,71"
magenta,,"38,520","0,71"
denizen,,"38,520","0,71"
hypothalamus,,"38,517","0,71"
rattlesnake,,"38,517","0,71"
provost,,"38,517","0,71"
woodpecker,,"38,516","0,71"
boatman,,"38,516","0,71"
elope,,"38,515","0,71"
checkup,,"38,515","0,71"
vicarious,,"38,515","0,71"
critter,,"38,515","0,71"
venerate,,"38,514","0,71"
cappuccino,,"38,514","0,71"
farmyard,,"38,513","0,71"
pusher,,"38,513","0,71"
redwood,,"38,511","0,71"
acquirer,,"38,511","0,71"
canton,,"38,510","0,71"
imitator,,"38,509","0,71"
frothy,,"38,509","0,71"
boundless,,"38,508","0,71"
contravention,,"38,507","0,71"
corkscrew,,"38,507","0,71"
unaltered,,"38,507","0,71"
avidly,,"38,507","0,71"
unclean,,"38,506","0,71"
declarative,,"38,505","0,71"
voracious,,"38,505","0,71"
spinster,,"38,504","0,71"
insubstantial,,"38,504","0,71"
easygoing,,"38,503","0,71"
cosmological,,"38,503","0,71"
histogram,,"38,502","0,71"
probabilistic,,"38,502","0,71"
sapling,,"38,502","0,71"
spiny,,"38,502","0,71"
acrobat,,"38,500","0,71"
unlicensed,,"38,500","0,71"
sodden,,"38,499","0,71"
sociability,,"38,499","0,71"
magnificence,,"38,496","0,71"
boggle,,"38,495","0,71"
phonetically,,"38,494","0,71"
featureless,,"38,493","0,71"
frankness,,"38,493","0,71"
chromium,,"38,493","0,71"
calcite,,"38,493","0,71"
paragon,,"38,493","0,71"
multiracial,,"38,492","0,71"
prefect,,"38,492","0,71"
overvalue,,"38,492","0,71"
multicolored,,"38,491","0,71"
foolishness,,"38,490","0,71"
adamantly,,"38,490","0,71"
searchlight,,"38,490","0,71"
whaler,,"38,488","0,71"
liquidator,,"38,487","0,71"
premeditate,,"38,487","0,71"
attractor,,"38,486","0,71"
admin,,"38,486","0,71"
subcategory,,"38,486","0,71"
rouge,,"38,486","0,71"
heathen,,"38,485","0,71"
quintet,,"38,484","0,71"
poplar,,"38,483","0,71"
superscript,,"38,482","0,71"
unsung,,"38,482","0,71"
outgrowth,,"38,482","0,70"
punishable,,"38,481","0,70"
gorse,,"38,481","0,70"
bedevil,,"38,481","0,70"
polygraph,,"38,480","0,70"
covertly,,"38,479","0,70"
proletarian,,"38,478","0,70"
sedimentation,,"38,477","0,70"
visor,,"38,476","0,70"
commandant,,"38,475","0,70"
masterly,,"38,474","0,70"
neoconservative,,"38,472","0,70"
topsoil,,"38,472","0,70"
ionic,,"38,471","0,70"
anarchic,,"38,471","0,70"
moldy,,"38,471","0,70"
septum,,"38,470","0,70"
individualist,,"38,470","0,70"
royalist,,"38,470","0,70"
polemical,,"38,469","0,70"
ionize,,"38,469","0,70"
cloakroom,,"38,469","0,70"
sheik,,"38,469","0,70"
cynically,,"38,469","0,70"
impressionable,,"38,467","0,70"
argumentation,,"38,466","0,70"
demonize,,"38,466","0,70"
disloyal,,"38,464","0,70"
brocade,,"38,464","0,70"
jubilant,,"38,461","0,70"
osmotic,,"38,461","0,70"
phenomenological,,"38,460","0,70"
authorial,,"38,458","0,70"
fantastically,,"38,458","0,70"
squelch,,"38,458","0,70"
everytime,,"38,457","0,70"
touchstone,,"38,457","0,70"
toiletry,,"38,456","0,70"
incrementally,,"38,455","0,70"
joist,,"38,455","0,70"
unzip,,"38,455","0,70"
homophobia,,"38,453","0,70"
fastidious,,"38,451","0,70"
backhand,,"38,451","0,70"
jibe,,"38,449","0,70"
underpay,,"38,449","0,70"
scullery,,"38,449","0,70"
euphoric,,"38,448","0,70"
fission,,"38,448","0,70"
sheaf,,"38,447","0,70"
invisibility,,"38,447","0,70"
whomever,,"38,446","0,70"
unbounded,,"38,446","0,70"
physiotherapy,,"38,446","0,70"
syndication,,"38,446","0,70"
statuette,,"38,445","0,70"
messianic,,"38,444","0,70"
exorcize,,"38,444","0,70"
dispassionate,,"38,442","0,70"
outwit,,"38,442","0,70"
rightness,,"38,442","0,70"
shyly,,"38,440","0,70"
kaleidoscope,,"38,439","0,70"
reactivate,,"38,439","0,70"
orthogonal,,"38,439","0,70"
bludgeon,,"38,438","0,70"
kickback,,"38,438","0,70"
unscrew,,"38,437","0,70"
perversely,,"38,436","0,70"
southerly,,"38,435","0,70"
subservient,,"38,434","0,70"
extort,,"38,434","0,70"
lilt,,"38,434","0,70"
impound,,"38,432","0,70"
mnemonic,,"38,432","0,70"
steeple,,"38,431","0,70"
determinedly,,"38,429","0,70"
unaided,,"38,429","0,70"
squall,,"38,428","0,70"
symphonic,,"38,428","0,70"
snog,,"38,427","0,70"
circulatory,,"38,426","0,70"
nebulous,,"38,426","0,70"
toolbar,,"38,426","0,70"
collocation,,"38,426","0,70"
gambit,,"38,426","0,70"
bullpen,,"38,425","0,70"
seatbelt,,"38,423","0,70"
feudalism,,"38,423","0,70"
microbiology,,"38,420","0,70"
hanker,,"38,420","0,70"
devotional,,"38,418","0,69"
dutiful,,"38,418","0,69"
interferon,,"38,417","0,69"
supplementation,,"38,415","0,69"
tenfold,,"38,414","0,69"
minimization,,"38,413","0,69"
mechanize,,"38,411","0,69"
uncontrollably,,"38,411","0,69"
soya,,"38,411","0,69"
venison,,"38,410","0,69"
resplendent,,"38,410","0,69"
orbiter,,"38,409","0,69"
acuity,,"38,409","0,69"
furtive,,"38,409","0,69"
arty,,"38,406","0,69"
headhunter,,"38,405","0,69"
avoidable,,"38,404","0,69"
anemic,,"38,404","0,69"
unworkable,,"38,402","0,69"
vilify,,"38,401","0,69"
spinoff,,"38,400","0,69"
infective,,"38,399","0,69"
marshmallow,,"38,398","0,69"
celibate,,"38,398","0,69"
knighthood,,"38,397","0,69"
doubter,,"38,397","0,69"
metastasis,,"38,397","0,69"
hubby,,"38,395","0,69"
pedantic,,"38,394","0,69"
reappraisal,,"38,394","0,69"
loll,,"38,393","0,69"
sensitively,,"38,393","0,69"
bumble,,"38,393","0,69"
commercialism,,"38,392","0,69"
deconstruction,,"38,392","0,69"
angelic,,"38,391","0,69"
vengeful,,"38,391","0,69"
tabulate,,"38,390","0,69"
enhancer,,"38,390","0,69"
lingo,,"38,390","0,69"
underage,,"38,389","0,69"
fireball,,"38,389","0,69"
heft,,"38,388","0,69"
aromatherapy,,"38,387","0,69"
paratrooper,,"38,383","0,69"
entreaty,,"38,382","0,69"
unquestioned,,"38,382","0,69"
sherd,,"38,382","0,69"
thanksgiving,,"38,381","0,69"
copulation,,"38,381","0,69"
metaphoric,,"38,381","0,69"
igneous,,"38,380","0,69"
fiat,,"38,380","0,69"
thoughtless,,"38,379","0,69"
guesswork,,"38,379","0,69"
grammatically,,"38,378","0,69"
catamaran,,"38,378","0,69"
untouchable,,"38,375","0,69"
tedium,,"38,373","0,69"
nefarious,,"38,373","0,69"
alertness,,"38,372","0,69"
impolite,,"38,371","0,69"
bottomless,,"38,370","0,69"
metabolize,,"38,370","0,69"
irreconcilable,,"38,369","0,69"
stopper,,"38,369","0,69"
foursome,,"38,367","0,69"
linoleum,,"38,366","0,69"
sphinx,,"38,366","0,69"
aforesaid,,"38,366","0,69"
silken,,"38,364","0,69"
spatially,,"38,364","0,69"
interlace,,"38,361","0,69"
hoover,,"38,361","0,69"
dichotomous,,"38,360","0,69"
handiwork,,"38,359","0,69"
shoplift,,"38,359","0,69"
concourse,,"38,358","0,69"
lanky,,"38,357","0,69"
midtown,,"38,356","0,68"
resistor,,"38,356","0,68"
enmesh,,"38,356","0,68"
cobblestone,,"38,356","0,68"
subtraction,,"38,354","0,68"
dovetail,,"38,354","0,68"
surety,,"38,354","0,68"
luminosity,,"38,353","0,68"
shitty,,"38,353","0,68"
sarcophagus,,"38,350","0,68"
omnipresent,,"38,349","0,68"
irk,,"38,349","0,68"
granular,,"38,349","0,68"
actionable,,"38,345","0,68"
leathery,,"38,345","0,68"
customarily,,"38,343","0,68"
exult,,"38,342","0,68"
typescript,,"38,341","0,68"
schoolhouse,,"38,341","0,68"
disbursement,,"38,341","0,68"
centrifugal,,"38,341","0,68"
sheikh,,"38,341","0,68"
quagmire,,"38,337","0,68"
bard,,"38,337","0,68"
coloration,,"38,337","0,68"
embezzlement,,"38,333","0,68"
newness,,"38,333","0,68"
papacy,,"38,333","0,68"
ingratiate,,"38,332","0,68"
lactation,,"38,332","0,68"
aphrodisiac,,"38,330","0,68"
tuner,,"38,329","0,68"
unabated,,"38,329","0,68"
groupie,,"38,329","0,68"
litmus,,"38,328","0,68"
fricative,,"38,328","0,68"
naively,,"38,325","0,68"
onshore,,"38,323","0,68"
disturbingly,,"38,322","0,68"
genitalia,,"38,321","0,68"
hellish,,"38,318","0,68"
antislavery,,"38,318","0,68"
needlessly,,"38,317","0,68"
paternalism,,"38,317","0,68"
windsurfer,,"38,317","0,68"
feverishly,,"38,317","0,68"
videoconference,,"38,316","0,68"
potentiality,,"38,315","0,68"
muslin,,"38,314","0,68"
canter,,"38,310","0,68"
viaduct,,"38,309","0,68"
northernmost,,"38,309","0,68"
thermonuclear,,"38,307","0,68"
capsize,,"38,305","0,68"
rascal,,"38,305","0,68"
windowless,,"38,305","0,68"
weir,,"38,304","0,68"
alderman,,"38,303","0,68"
undaunted,,"38,303","0,68"
wick,,"38,301","0,68"
wannabe,,"38,301","0,68"
vaudeville,,"38,301","0,68"
homologous,,"38,301","0,68"
abseil,,"38,299","0,68"
degenerative,,"38,299","0,68"
offbeat,,"38,299","0,68"
fjord,,"38,298","0,68"
sluice,,"38,297","0,68"
staunchly,,"38,295","0,68"
android,,"38,295","0,68"
pucker,,"38,294","0,68"
silage,,"38,293","0,68"
passable,,"38,291","0,67"
mushy,,"38,291","0,67"
cogent,,"38,290","0,67"
gargantuan,,"38,290","0,67"
preeminent,,"38,288","0,67"
redefinition,,"38,287","0,67"
macrophage,,"38,287","0,67"
shapely,,"38,285","0,67"
horticulture,,"38,284","0,67"
riser,,"38,283","0,67"
coliseum,,"38,282","0,67"
guardsman,,"38,282","0,67"
feathery,,"38,282","0,67"
birthright,,"38,281","0,67"
unpalatable,,"38,279","0,67"
loam,,"38,279","0,67"
profusely,,"38,278","0,67"
stiletto,,"38,278","0,67"
gory,,"38,278","0,67"
cadaver,,"38,277","0,67"
burr,,"38,276","0,67"
apostrophe,,"38,276","0,67"
playmate,,"38,273","0,67"
explicate,,"38,273","0,67"
chaste,,"38,271","0,67"
apologetically,,"38,270","0,67"
mineralogy,,"38,270","0,67"
mandible,,"38,268","0,67"
principality,,"38,268","0,67"
tithe,,"38,268","0,67"
candlestick,,"38,268","0,67"
analgesic,,"38,267","0,67"
sweatshop,,"38,267","0,67"
spat,,"38,267","0,67"
interrogative,,"38,267","0,67"
ratchet,,"38,266","0,67"
unobserved,,"38,266","0,67"
teletext,,"38,261","0,67"
slippage,,"38,260","0,67"
nongovernmental,,"38,259","0,67"
motorcade,,"38,258","0,67"
shirk,,"38,258","0,67"
nous,,"38,255","0,67"
beater,,"38,254","0,67"
